T	passed	raw_angle	angle	odomc_left_front	odomc_right_front	odomc_left_back	odomc_right_back	votol_front	votol_back	x	y	yaw	left_pole_detection	right_pole_detection	front_pole_detection	kerbs_coordinates	left_fc	right_fc	front_fc
0.1	0.0	14	0.02321000024676323	-5	-6	-8	-7	0	0	-0.21545042418318788	0.0	0.0	[]	[]	[]		0	0	0
0.2	0.0	14	0.02321000024676323	-5	-6	-8	-7	0	0	-0.21545042418318788	0.0	0.0	[]	[]	[]		0	0	0
0.3	0.0	14	0.02321000024676323	-5	-6	-8	-7	0	0	-0.21545042418318788	0.0	0.0	[]	[]	[]		0	0	0
0.4	0.0	14	0.02321000024676323	-5	-6	-8	-7	0	0	-0.21545042418318788	0.0	0.0	[]	[]	[]		0	0	0
0.5	0.0	14	0.02321000024676323	-5	-6	-8	-7	0	0	-0.21545042418318788	0.0	0.0	[]	[]	[]		0	0	0
0.7	0.0	14	0.02321000024676323	-5	-6	-8	-7	0	0	-0.21545042418318788	0.0	0.0	[]	[]	[]		0	0	0
0.8	0.0	14	0.02321000024676323	-5	-6	-8	-7	0	0	-0.21545042418318788	0.0	0.0	[]	[]	[]		0	0	0
0.9	0.0	14	0.02321000024676323	-5	-6	-8	-7	0	0	-0.21545042418318788	0.0	0.0	[]	[]	[]		0	0	0
1.0	0.0	14	0.02321000024676323	-5	-6	-8	-7	0	0	-0.21545042418318788	0.0	0.0	[]	[]	[]		0	0	0
1.1	0.0	14	0.02321000024676323	-5	-6	-8	-7	0	0	-0.21545042418318788	0.0	0.0	[]	[]	[]		0	0	0
1.2	0.0	14	0.02321000024676323	-5	-6	-8	-7	0	0	-0.21545042418318788	0.0	0.0	[]	[]	[]		0	4	4
1.3	0.0	14	0.02321000024676323	-5	-6	-8	-7	0	0	-0.21545042418318788	0.0	0.0	[]	[]	[]		0	7	7
1.4	0.0	14	0.02321000024676323	-5	-6	-8	-7	0	0	-0.21545042418318788	0.0	0.0	[]	[]	[]		0	10	10
1.5	0.0	14	0.02321000024676323	-5	-6	-8	-7	0	0	-0.21545042418318788	0.0	0.0	[]	[]	[]		0	13	13
1.6	0.0	14	0.02321000024676323	-5	-6	-8	-7	0	0	-0.21545042418318788	0.0	0.0	[]	[]	[]		0	16	16
1.8	0.0	14	0.02321000024676323	-5	-6	-8	-7	0	0	-0.21545042418318788	0.0	0.0	[]	[]	[]		0	20	19
1.9	0.0	14	0.02321000024676323	-5	-6	-8	-7	0	0	-0.21545042418318788	0.0	0.0	[]	[]	[]		0	22	21
2.0	0.0	14	0.02321000024676323	-5	-6	-8	-7	0	0	-0.21545042418318788	0.0	0.0	[]	[]	[]		0	25	25
2.1	0.0	14	0.02321000024676323	-5	-6	-8	-7	0	0	-0.21545042418318788	0.0	0.0	[]	[]	[]		0	28	28
2.2	0.0	14	0.02321000024676323	-5	-6	-8	-7	0	0	-0.21545042418318788	0.0	0.0	[]	[]	[]		0	32	31
2.3	0.0	14	0.02321000024676323	-5	-6	-8	-7	0	0	-0.21545042418318788	0.0	0.0	[]	[]	[]		0	34	34
2.4	0.0	14	0.02321000024676323	-5	-6	-8	-7	0	0	-0.21545042418318788	0.0	0.0	[]	[]	[]		0	38	37
2.5	0.0	14	0.02321000024676323	-5	-6	-8	-7	0	0	-0.21545042418318788	0.0	0.0	[]	[]	[]		0	40	40
2.6	0.0	14	0.02321000024676323	-5	-6	-8	-7	0	0	-0.21545042418318788	0.0	0.0	[]	[]	[]		0	43	42
2.7	0.0	14	0.02321000024676323	-5	-6	-8	-7	0	0	-0.21545042418318788	0.0	0.0	[]	[]	[]		0	45	45
2.8	0.0	14	0.02321000024676323	-5	-6	-8	-7	0	0	-0.21545042418318788	0.0	0.0	[]	[]	[]		0	48	48
2.9	0.0	14	0.02321000024676323	-5	-6	-8	-7	0	0	-0.21545042418318788	0.0	0.0	[]	[]	[]		0	51	50
3.0	0.0	14	0.02321000024676323	-5	-6	-8	-7	0	0	-0.21545042418318788	0.0	0.0	[]	[]	[]		0	53	53
3.1	0.0	14	0.02321000024676323	-5	-6	-8	-7	0	0	-0.21545042418318788	0.0	0.0	[]	[]	[]		0	56	56
3.2	0.0	14	0.02321000024676323	-5	-6	-8	-7	0	0	-0.21545042418318788	0.0	0.0	[]	[]	[]		0	59	59
3.4	0.0	14	0.02321000024676323	-5	-6	-8	-7	0	0	-0.21545042418318788	0.0	0.0	[]	[]	[]		0	64	64
3.4	0.0	14	0.02321000024676323	-5	-6	-8	-7	0	0	-0.21545042418318788	0.0	0.0	[]	[]	[]		0	64	64
3.6	0.0	14	0.02321000024676323	-5	-6	-8	-7	0	0	-0.21545042418318788	0.0	0.0	[]	[]	[]		0	70	70
3.8	0.0	14	0.02321000024676323	-5	-6	-8	-7	0	0	-0.21545042418318788	0.0	0.0	[]	[]	[]		0	73	73
3.9	0.0	14	0.02321000024676323	-5	-6	-8	-7	0	0	-0.21545042418318788	0.0	0.0	[]	[]	[]		0	76	76
4.0	0.0	14	0.02321000024676323	-5	-6	-8	-7	0	0	-0.21545042418318788	0.0	0.0	[]	[]	[]		0	80	79
4.1	0.0	14	0.02321000024676323	-5	-6	-8	-7	0	0	-0.21545042418318788	0.0	0.0	[]	[]	[]		0	82	82
4.2	0.0	14	0.02321000024676323	-5	-6	-8	-7	0	0	-0.21545042418318788	0.0	0.0	[]	[]	[]		0	86	85
4.3	0.0	14	0.02321000024676323	-5	-6	-8	-7	0	0	-0.21545042418318788	0.0	0.0	[]	[]	[]		0	88	88
4.4	0.0	14	0.02321000024676323	-5	-6	-8	-7	0	0	-0.21545042418318788	0.0	0.0	[]	[]	[]		0	92	91
4.5	0.0	14	0.02321000024676323	-5	-6	-8	-7	0	0	-0.21545042418318788	0.0	0.0	[]	[]	[]		0	94	94
4.7	0.0	14	0.02321000024676323	-5	-6	-8	-7	0	0	-0.21545042418318788	0.0	0.0	[]	[]	[]		0	98	97
4.8	0.0	14	0.02321000024676323	-5	-6	-8	-7	0	0	-0.21545042418318788	0.0	0.0	[]	[]	[]		0	100	100
4.9	0.0	14	0.02321000024676323	-5	-6	-8	-7	0	0	-0.21545042418318788	0.0	0.0	[]	[]	[]		0	103	103
5.0	0.0	14	0.02321000024676323	-5	-6	-8	-7	0	0	-0.21545042418318788	0.0	0.0	[]	[]	[]		0	106	106
5.1	0.0	14	0.02321000024676323	-5	-6	-8	-7	0	0	-0.21545042418318788	0.0	0.0	[]	[]	[]		0	109	109
5.2	0.0	14	0.02321000024676323	-5	-6	-8	-7	0	0	-0.21545042418318788	0.0	0.0	[]	[]	[]		0	112	111
5.3	0.0	14	0.02321000024676323	-5	-6	-8	-7	0	0	-0.21545042418318788	0.0	0.0	[]	[]	[]		0	115	115
5.4	0.0	13	0.021549999713897705	-5	-6	-7	-7	0	0	-0.21545042418318788	0.0	0.0	[]	[]	[]		0	118	118
5.5	0.0	13	0.021549999713897705	-4	-6	-7	-6	0	0	-0.19749622216792223	0.0	0.0	[]	[]	[]		0	121	121
5.6	0.0	13	0.021549999713897705	-4	-6	-7	-6	0	0	-0.1885191211602894	0.0	0.0	[]	[]	[]		0	124	124
